launch_id,mission_name,location_id,vehicle_id,launch_date_actual,launch_date_planned,launch_time_utc,payload_mass_kg,payload_type,customer,orbit_type,launch_success,landing_attempted,landing_success,booster_reused,fairings_recovered,mission_duration_days,launch_delay_days,cost_million,crew_count,rapid_reusability_score,improvement_opportunity_flag
1,FalconSat,4,1,20060324,20051013,22:30:00,20,Satellite,DARPA,LEO,False,False,False,False,False,0,162,7,0,0,1
2,DemoSat,4,1,20070321,20060725,01:10:00,0,Test,SpaceX,LEO,False,False,False,False,False,0,239,7,0,0,1
3,Trailblazer,4,1,20080803,20080304,03:34:00,0,Test,NASA,LEO,False,False,False,False,False,0,152,7,0,0,1
4,RatSat,4,1,20080928,20080716,23:15:00,165,Satellite,SpaceX,LEO,True,False,False,False,False,0,74,7,0,10,0
5,RazakSAT,4,1,20090714,20090129,03:35:00,200,Satellite,ATSB,LEO,True,False,False,False,False,0,166,7,0,10,0
6,Dragon Demo 1,1,2,20100604,20100311,18:45:00,0,Test,SpaceX,LEO,True,False,False,False,False,0,85,50,0,10,0
7,COTS Demo 1,1,2,20101208,20100925,15:43:00,3000,Dragon 1,NASA,LEO,True,False,False,False,False,14,74,50,0,10,0
8,COTS Demo 2,1,2,20120522,20120418,07:44:00,4700,Dragon 1,NASA,ISS,True,False,False,False,False,9,34,50,0,10,0
9,CRS-1,1,2,20121008,20120825,00:35:00,4700,Dragon 1,NASA,ISS,True,False,False,False,False,21,44,50,0,10,0
10,CRS-2,1,2,20130301,20130206,15:10:00,4877,Dragon 1,NASA,ISS,True,False,False,False,False,25,23,50,0,10,0
11,CASSIOPE,3,3,20130929,20130825,16:00:00,500,Satellite,MDA,PO,True,True,False,False,False,0,35,61,0,15,1
12,SES-8,1,3,20131203,20130928,22:41:00,3170,Satellite,SES,GTO,True,False,False,False,False,0,66,61,0,10,0
13,Thaicom 6,1,3,20140106,20131222,22:20:00,3325,Satellite,Thaicom,GTO,True,False,False,False,False,0,15,61,0,10,0
14,CRS-3,1,3,20140418,20140227,19:25:00,5000,Dragon 1,NASA,ISS,True,True,True,False,False,30,50,61,0,25,0
15,ORBCOMM OG2-M1,1,3,20140714,20140524,15:15:00,1316,Satellite,ORBCOMM,LEO,True,True,True,False,False,0,51,61,0,25,0
16,AsiaSat 8,1,3,20140805,20140721,08:00:00,4535,Satellite,AsiaSat,GTO,True,False,False,False,False,0,15,61,0,10,0
17,AsiaSat 6,1,3,20140907,20140622,05:00:00,4428,Satellite,AsiaSat,GTO,True,False,False,False,False,0,77,61,0,10,0
18,CRS-4,1,3,20140921,20140703,05:52:00,5000,Dragon 1,NASA,ISS,True,True,True,False,False,34,80,61,0,25,0
19,CRS-5,1,3,20150110,20141130,09:47:00,5200,Dragon 1,NASA,ISS,True,True,False,False,False,31,41,61,0,20,1
20,DSCOVR,1,3,20150211,20150103,23:03:00,570,Satellite,NOAA,L1,True,True,True,False,False,0,39,61,0,25,0
21,ABS-3A/Eutelsat 115,1,3,20150302,20150212,03:50:00,4159,Satellite,ABS/Eutelsat,GTO,True,False,False,False,False,0,18,61,0,10,0
22,CRS-6,1,3,20150414,20150126,20:10:00,5200,Dragon 1,NASA,ISS,True,True,False,False,False,38,78,61,0,20,1
23,TurkmenAlem52E,1,3,20150427,20150330,23:03:00,4700,Satellite,Turkmenistan,GTO,True,False,False,False,False,0,28,61,0,10,0
24,CRS-7,1,3,20150628,20150420,14:21:00,5200,Dragon 1,NASA,ISS,False,False,False,False,False,0,69,61,0,0,1
25,ORBCOMM OG2-M2,1,4,20151222,20151119,01:29:00,2034,Satellite,ORBCOMM,LEO,True,True,True,False,False,0,33,62,0,35,0
26,Jason 3,3,4,20160117,20151130,18:42:00,553,Satellite,NASA/NOAA,LEO,True,True,False,False,False,0,48,62,0,30,1
27,SES-9,1,4,20160304,20160130,23:35:00,5271,Satellite,SES,GTO,True,True,False,False,False,0,34,62,0,30,1
28,CRS-8,1,4,20160408,20160119,20:43:00,3136,Dragon 1,NASA,ISS,True,True,True,False,False,32,80,62,0,35,0
29,JCSAT-14,1,4,20160506,20160414,05:21:00,4696,Satellite,JSAT,GTO,True,True,True,False,False,0,22,62,0,35,0
30,Thaicom 8,1,4,20160527,20160506,21:39:00,3100,Satellite,Thaicom,GTO,True,True,True,False,False,0,21,62,0,35,0
31,ABS-2A/Eutelsat 117,1,4,20160615,20160423,14:29:00,3600,Satellite,ABS/Eutelsat,GTO,True,True,False,False,False,0,53,62,0,30,1
32,CRS-9,1,4,20160718,20160427,04:45:00,2257,Dragon 1,NASA,ISS,True,True,True,False,False,36,82,62,0,35,0
33,JCSAT-16,1,4,20160814,20160618,05:26:00,4600,Satellite,JSAT,GTO,True,True,True,False,False,0,57,62,0,35,0
34,AMOS-6,1,4,20160901,20160713,07:00:00,5500,Satellite,Spacecom,GTO,False,False,False,False,False,0,50,62,0,0,1
35,Iridium NEXT 1,3,4,20170114,20161117,17:54:00,9600,Satellite,Iridium,LEO,True,True,True,False,False,0,58,62,0,35,0
36,CRS-10,2,4,20170219,20161127,14:39:00,2490,Dragon 1,NASA,ISS,True,True,True,False,False,30,84,62,0,35,0
37,SES-10,2,4,20170330,20170321,22:27:00,5300,Satellite,SES,GTO,True,True,True,True,False,0,9,62,0,45,0
38,NROL-76,2,4,20170501,20170319,11:15:00,5300,Classified,NRO,LEO,True,True,True,False,False,0,43,62,0,35,0
39,Inmarsat-5 F4,2,4,20170515,20170319,23:21:00,6070,Satellite,Inmarsat,GTO,True,False,False,False,False,0,57,62,0,10,0
40,CRS-11,2,4,20170603,20170507,21:07:00,2708,Dragon 1,NASA,ISS,True,True,True,True,False,30,27,62,0,45,0
41,BulgariaSat-1,2,4,20170623,20170527,19:10:00,3669,Satellite,Bulgaria Sat,GTO,True,True,True,True,False,0,27,62,0,45,0
42,Iridium NEXT 2,3,4,20170625,20170610,20:25:00,9600,Satellite,Iridium,LEO,True,True,True,False,False,0,15,62,0,35,0
43,Intelsat 35e,2,4,20170705,20170521,23:35:00,6761,Satellite,Intelsat,GTO,True,False,False,False,False,0,45,62,0,10,0
44,CRS-12,2,4,20170814,20170707,16:31:00,3310,Dragon 1,NASA,ISS,True,True,True,True,False,34,38,62,0,45,0
45,FormoSat-5,3,4,20170824,20170814,18:51:00,475,Satellite,NSPO,SSO,True,True,True,True,False,0,10,62,0,45,0
46,Boeing X-37B OTV-5,2,4,20170907,20170807,14:00:00,4990,Spaceplane,USAF,LEO,True,True,True,False,False,780,31,62,0,35,0
47,Iridium NEXT 3,3,4,20171009,20170919,12:37:00,9600,Satellite,Iridium,LEO,True,True,True,False,False,0,20,62,0,35,0
48,SES-11/EchoStar 105,2,4,20171011,20170816,22:53:00,5200,Satellite,SES/EchoStar,GTO,True,True,True,True,False,0,56,62,0,45,0
49,KoreaSat-5A,2,4,20171030,20171015,19:34:00,3500,Satellite,KT Corp,GTO,True,True,True,False,False,0,15,62,0,35,0
50,CRS-13,1,4,20171215,20171003,15:36:00,2205,Dragon 1,NASA,ISS,True,True,True,True,False,27,73,62,0,45,0
51,Iridium NEXT 4,3,4,20171223,20171215,01:27:00,9600,Satellite,Iridium,LEO,True,True,True,True,False,0,8,62,0,45,0
52,GovSat-1/SES-16,1,5,20180131,20180105,21:25:00,4230,Satellite,GovSat,GTO,True,True,True,False,True,0,26,67,0,40,0
53,Falcon Heavy Test,2,6,20180206,20141108,20:45:00,1400,Tesla Roadster,SpaceX,HEO,True,True,True,False,True,0,1186,150,0,50,0
54,Paz/Starlink Demo,3,5,20180222,20171231,14:17:00,2150,Satellite,Hisdesat/SpaceX,SSO,True,False,False,False,True,0,53,67,0,25,0
55,Hispasat 30W-6,1,5,20180306,20180221,05:33:00,6092,Satellite,Hispasat,GTO,True,False,False,False,True,0,13,67,0,25,0
56,Iridium NEXT 5,3,5,20180330,20180208,14:14:00,9600,Satellite,Iridium,LEO,True,True,True,True,True,0,50,67,0,50,0
57,CRS-14,1,5,20180402,20180319,20:30:00,2647,Dragon 1,NASA,ISS,True,False,False,True,True,30,14,67,0,35,0
58,TESS,1,5,20180418,20180224,22:51:00,362,Satellite,NASA,HEO,True,True,True,False,True,0,53,67,0,40,0
59,Bangabandhu-1,2,5,20180511,20180331,20:14:00,3600,Satellite,Bangladesh,GTO,True,True,True,False,False,0,41,67,0,35,0
60,Iridium NEXT 6,3,5,20180522,20180502,19:47:00,6460,Satellite,Iridium,LEO,True,False,False,True,False,0,20,67,0,25,0
61,SES-12,1,5,20180604,20180512,04:45:00,5384,Satellite,SES,GTO,True,False,False,False,False,0,23,67,0,10,0
62,CRS-15,1,5,20180629,20180518,09:42:00,2697,Dragon 1,NASA,ISS,True,False,False,True,False,35,42,67,0,25,0
63,Telstar 19V,1,5,20180722,20180527,05:50:00,7075,Satellite,Telesat,GTO,True,True,True,False,True,0,56,67,0,40,0
64,Iridium NEXT 7,3,5,20180725,20180609,11:39:00,9600,Satellite,Iridium,LEO,True,True,True,True,True,0,46,67,0,50,0
