Year,Average_Cost_Per_Kg_USD,Notes
2000,25628,Industry-wide average for non-SpaceX providers
2001,24500,Estimated based on trend
2002,23800,Estimated based on trend
2003,23200,Estimated based on trend
2004,22800,Estimated based on trend
2005,22500,Peak before decline begins
2006,21800,Gradual decline
2007,21200,Gradual decline
2008,20500,Gradual decline
2009,19800,Gradual decline
2010,18500,Pre-Falcon 9 competition era
2011,17200,Space Shuttle retired this year
2012,15800,Market competition begins
2013,14500,SpaceX competition impact
2014,13200,Providers responding to SpaceX
2015,12000,Industry average across providers
2016,11200,Continued competitive pressure
2017,10800,Established competition
2018,10500,Market consolidation
2019,10200,Competitive market
2020,10313,Non-commercial satellite average
2021,9800,Estimated trend continuation
2022,9200,New competitors entering
2023,8800,Continued decline
2024,8200,Estimated current market
2025,7800,Projected based on trends
